epoch	train_mse	test_mse	test_accuracy
1	0.250296	0.250237	0.4202
2	0.250231	0.250166	0.4719
3	0.250168	0.250097	0.4590
4	0.250108	0.250030	0.5344
5	0.250049	0.249965	0.5459
6	0.249992	0.249902	0.5523
7	0.249937	0.249841	0.5506
8	0.249883	0.249781	0.5511
9	0.249831	0.249724	0.5499
10	0.249781	0.249667	0.5504
11	0.249732	0.249613	0.5492
12	0.249685	0.249560	0.5485
13	0.249639	0.249508	0.5492
14	0.249594	0.249458	0.5490
15	0.249551	0.249409	0.5488
16	0.249509	0.249362	0.5485
17	0.249469	0.249316	0.5485
18	0.249429	0.249271	0.5485
19	0.249391	0.249228	0.5485
20	0.249354	0.249186	0.5488
21	0.249318	0.249145	0.5488
22	0.249283	0.249105	0.5488
23	0.249250	0.249066	0.5488
24	0.249217	0.249029	0.5488
25	0.249185	0.248992	0.5488
26	0.249154	0.248956	0.5488
27	0.249124	0.248922	0.5488
28	0.249095	0.248888	0.5488
29	0.249067	0.248855	0.5488
30	0.249040	0.248823	0.5488
31	0.249014	0.248792	0.5488
32	0.248988	0.248762	0.5488
33	0.248963	0.248733	0.5488
34	0.248939	0.248704	0.5488
35	0.248915	0.248677	0.5488
36	0.248893	0.248650	0.5488
37	0.248871	0.248624	0.5488
38	0.248849	0.248598	0.5488
39	0.248828	0.248573	0.5488
40	0.248808	0.248549	0.5488
41	0.248789	0.248525	0.5488
42	0.248770	0.248502	0.5488
43	0.248751	0.248480	0.5488
44	0.248733	0.248458	0.5488
45	0.248716	0.248437	0.5488
46	0.248699	0.248417	0.5488
47	0.248683	0.248397	0.5488
48	0.248667	0.248377	0.5488
49	0.248651	0.248358	0.5488
50	0.248636	0.248340	0.5488
51	0.248622	0.248322	0.5488
52	0.248608	0.248304	0.5488
53	0.248594	0.248287	0.5488
54	0.248581	0.248270	0.5488
55	0.248568	0.248254	0.5488
56	0.248555	0.248238	0.5488
57	0.248543	0.248223	0.5488
58	0.248531	0.248208	0.5488
59	0.248519	0.248193	0.5488
60	0.248508	0.248179	0.5488
61	0.248497	0.248165	0.5488
62	0.248487	0.248151	0.5488
63	0.248476	0.248138	0.5488
64	0.248466	0.248125	0.5488
65	0.248456	0.248112	0.5488
66	0.248447	0.248100	0.5488
67	0.248438	0.248088	0.5488
68	0.248429	0.248076	0.5488
69	0.248420	0.248065	0.5488
70	0.248411	0.248053	0.5488
71	0.248403	0.248043	0.5488
72	0.248395	0.248032	0.5488
73	0.248387	0.248021	0.5488
74	0.248380	0.248011	0.5488
75	0.248372	0.248001	0.5488
76	0.248365	0.247992	0.5488
77	0.248358	0.247982	0.5488
78	0.248351	0.247973	0.5488
79	0.248345	0.247964	0.5488
80	0.248338	0.247955	0.5488
81	0.248332	0.247947	0.5488
82	0.248326	0.247938	0.5488
83	0.248320	0.247930	0.5488
84	0.248314	0.247922	0.5488
85	0.248308	0.247914	0.5488
86	0.248302	0.247906	0.5488
87	0.248297	0.247899	0.5488
88	0.248292	0.247891	0.5488
89	0.248287	0.247884	0.5488
90	0.248281	0.247877	0.5488
91	0.248277	0.247870	0.5488
92	0.248272	0.247863	0.5488
93	0.248267	0.247857	0.5488
94	0.248262	0.247850	0.5488
95	0.248258	0.247844	0.5488
96	0.248254	0.247838	0.5488
97	0.248249	0.247832	0.5488
98	0.248245	0.247826	0.5488
99	0.248241	0.247820	0.5488
100	0.248237	0.247814	0.5488
101	0.248233	0.247808	0.5488
102	0.248229	0.247803	0.5488
103	0.248226	0.247797	0.5488
104	0.248222	0.247792	0.5488
105	0.248219	0.247787	0.5488
106	0.248215	0.247782	0.5488
107	0.248212	0.247777	0.5488
108	0.248208	0.247772	0.5488
109	0.248205	0.247767	0.5488
110	0.248202	0.247762	0.5488
111	0.248199	0.247758	0.5488
112	0.248196	0.247753	0.5488
113	0.248193	0.247749	0.5488
114	0.248190	0.247744	0.5488
115	0.248187	0.247740	0.5488
116	0.248184	0.247736	0.5488
117	0.248181	0.247732	0.5488
118	0.248178	0.247727	0.5488
119	0.248176	0.247723	0.5488
120	0.248173	0.247719	0.5488
121	0.248171	0.247716	0.5488
122	0.248168	0.247712	0.5488
123	0.248165	0.247708	0.5488
124	0.248163	0.247704	0.5488
125	0.248161	0.247701	0.5488
126	0.248158	0.247697	0.5488
127	0.248156	0.247693	0.5488
128	0.248154	0.247690	0.5488
129	0.248151	0.247686	0.5488
130	0.248149	0.247683	0.5488
131	0.248147	0.247680	0.5488
132	0.248145	0.247676	0.5488
133	0.248143	0.247673	0.5488
134	0.248141	0.247670	0.5488
135	0.248138	0.247667	0.5488
136	0.248136	0.247664	0.5488
137	0.248134	0.247661	0.5488
138	0.248132	0.247658	0.5488
139	0.248130	0.247655	0.5488
140	0.248129	0.247652	0.5488
141	0.248127	0.247649	0.5488
142	0.248125	0.247646	0.5488
143	0.248123	0.247643	0.5488
144	0.248121	0.247640	0.5488
145	0.248119	0.247638	0.5488
146	0.248117	0.247635	0.5488
147	0.248116	0.247632	0.5488
148	0.248114	0.247630	0.5488
149	0.248112	0.247627	0.5488
150	0.248111	0.247624	0.5488
151	0.248109	0.247622	0.5488
152	0.248107	0.247619	0.5488
153	0.248106	0.247617	0.5488
154	0.248104	0.247614	0.5488
155	0.248102	0.247612	0.5488
156	0.248101	0.247610	0.5488
157	0.248099	0.247607	0.5488
158	0.248097	0.247605	0.5488
159	0.248096	0.247602	0.5488
160	0.248094	0.247600	0.5488
161	0.248093	0.247598	0.5488
162	0.248091	0.247596	0.5488
163	0.248090	0.247593	0.5488
164	0.248088	0.247591	0.5488
165	0.248087	0.247589	0.5488
166	0.248085	0.247587	0.5488
167	0.248084	0.247585	0.5488
168	0.248082	0.247582	0.5488
169	0.248081	0.247580	0.5488
170	0.248080	0.247578	0.5488
171	0.248078	0.247576	0.5488
172	0.248077	0.247574	0.5488
173	0.248075	0.247572	0.5488
174	0.248074	0.247570	0.5488
175	0.248072	0.247568	0.5488
176	0.248071	0.247566	0.5488
177	0.248070	0.247564	0.5488
178	0.248068	0.247562	0.5488
179	0.248067	0.247560	0.5488
180	0.248066	0.247558	0.5488
181	0.248064	0.247556	0.5488
182	0.248063	0.247554	0.5488
183	0.248062	0.247552	0.5488
184	0.248060	0.247550	0.5488
185	0.248059	0.247549	0.5488
186	0.248058	0.247547	0.5488
187	0.248056	0.247545	0.5488
188	0.248055	0.247543	0.5488
189	0.248054	0.247541	0.5488
190	0.248052	0.247539	0.5488
191	0.248051	0.247538	0.5488
192	0.248050	0.247536	0.5488
193	0.248049	0.247534	0.5488
194	0.248047	0.247532	0.5488
195	0.248046	0.247530	0.5488
196	0.248045	0.247529	0.5488
197	0.248044	0.247527	0.5488
198	0.248042	0.247525	0.5488
199	0.248041	0.247524	0.5488
200	0.248040	0.247522	0.5488
201	0.248039	0.247520	0.5488
202	0.248037	0.247518	0.5488
203	0.248036	0.247517	0.5488
204	0.248035	0.247515	0.5488
205	0.248034	0.247513	0.5488
206	0.248032	0.247512	0.5488
207	0.248031	0.247510	0.5488
208	0.248030	0.247508	0.5488
209	0.248029	0.247507	0.5488
210	0.248027	0.247505	0.5488
211	0.248026	0.247503	0.5488
212	0.248025	0.247502	0.5488
213	0.248024	0.247500	0.5488
214	0.248023	0.247499	0.5488
215	0.248021	0.247497	0.5488
216	0.248020	0.247495	0.5488
217	0.248019	0.247494	0.5488
